رقم_السجل,اسم_المعرض,اسم_السيارة,ماركة_السيارة,موديل_السيارة,سنة_الصنع,السعر_بالدولار,الممشى_كم,لون_السيارة,ناقل_الحركة,نوع_الوقود,حالة_السيارة,رقم_الهاتف,المدينة,صورة_السيارة
2908,معرض التميز,تويوتا راف فور,تويوتا,راف فور,2026,42800,5000,أسود,عادي,ديزل,مستعملة,768117404,حضرموت,/static/images/cars/أسود_راف فور_تويوتا.car.svg
2909,معرض الرواد,بي إم دبليو X3,بي إم دبليو,X3,2016,34000,171130,أسود,أوتوماتيك,هجين,مستعملة,732998991,ذمار,/static/images/cars/أسود_X3_بي إم دبليو.car.svg
2910,معرض النخبة,هيونداي سوناتا,هيونداي,سوناتا,2020,25600,82175,رمادي,أوتوماتيك,كهربائي,مستعملة,781486463,إب,/static/images/cars/رمادي_سوناتا_هيونداي.car.svg
2911,معرض النجوم,هيونداي سوناتا,هيونداي,سوناتا,2020,23600,64878,أسود,أوتوماتيك,بنزين,مستعملة,792798083,المكلا,/static/images/cars/أسود_سوناتا_هيونداي.car.svg
2912,معرض التميز,تويوتا كورولا,تويوتا,كورولا,2018,23600,88154,رمادي,عادي,ديزل,مستعملة,749323096,تعز,/static/images/cars/رمادي_كورولا_تويوتا.car.svg
2913,معرض النخبة,هيونداي سانتافي,هيونداي,سانتافي,2023,31400,43359,لؤلؤي,أوتوماتيك,كهربائي,مستعملة,781025912,المكلا,/static/images/cars/لؤلؤي_سانتافي_هيونداي.car.svg
2914,معرض التميز,بي إم دبليو X5,بي إم دبليو,X5,2015,32200,140274,رمادي,أوتوماتيك,ديزل,مستعملة,746055930,المكلا,/static/images/cars/رمادي_X5_بي إم دبليو.car.svg
2915,معرض الرواد,تويوتا كامري,تويوتا,كامري,2021,30300,63702,أزرق,عادي,هجين,مستعملة,795444170,حضرموت,/static/images/cars/أزرق_كامري_تويوتا.car.svg
2916,معرض السيارات الحديثة,هيونداي إلنترا,هيونداي,إلنترا,2020,21900,93644,أحمر,عادي,هجين,مستعملة,777069373,صنعاء,/static/images/cars/أحمر_إلنترا_هيونداي.car.svg
2917,معرض النجوم,تويوتا راف فور,تويوتا,راف فور,2020,30400,75498,رمادي,عادي,كهربائي,مستعملة,739302953,صنعاء,/static/images/cars/رمادي_راف فور_تويوتا.car.svg
2918,معرض الأصالة,هوندا بايلوت,هوندا,بايلوت,2018,24500,86372,فضي,أوتوماتيك,ديزل,مستعملة,744168310,صنعاء,/static/images/cars/فضي_بايلوت_هوندا.car.svg
2919,معرض القمة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2020,45900,88169,رمادي,أوتوماتيك,ديزل,مستعملة,787691564,المكلا,/static/images/cars/رمادي_الفئة الخامسة_بي إم دبليو.car.svg
2920,معرض القمة,هيونداي سوناتا,هيونداي,سوناتا,2019,22900,71659,رمادي,أوتوماتيك,ديزل,مستعملة,758276118,ذمار,/static/images/cars/رمادي_سوناتا_هيونداي.car.svg
2921,معرض السيارات الحديثة,بي إم دبليو X3,بي إم دبليو,X3,2021,50000,81514,أحمر,عادي,ديزل,مستعملة,761017988,صنعاء,/static/images/cars/أحمر_X3_بي إم دبليو.car.svg
2922,معرض النخبة,فورد إيدج,فورد,إيدج,2023,39100,42067,أسود,أوتوماتيك,هجين,مستعملة,793698131,عدن,/static/images/cars/أسود_إيدج_فورد.car.svg
2923,معرض القمة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2019,42500,130293,لؤلؤي,عادي,كهربائي,مستعملة,713893310,صنعاء,/static/images/cars/لؤلؤي_الفئة الخامسة_بي إم دبليو.car.svg
2924,معرض التميز,بي إم دبليو X5,بي إم دبليو,X5,2017,39500,115550,فضي,أوتوماتيك,بنزين,مستعملة,775523712,ذمار,/static/images/cars/فضي_X5_بي إم دبليو.car.svg
2925,معرض النخبة,تويوتا هايلاندر,تويوتا,هايلاندر,2024,36000,26964,أزرق,أوتوماتيك,بنزين,مستعملة,740251189,الحديدة,/static/images/cars/أزرق_هايلاندر_تويوتا.car.svg
2926,معرض الأصالة,مرسيدس C-Class,مرسيدس,C-Class,2026,69400,0,أحمر,عادي,ديزل,جديدة,729297925,الحديدة,/static/images/cars/أحمر_C-Class_مرسيدس.car.svg
2927,معرض الأصالة,هوندا CR-V,هوندا,CR-V,2021,31600,49615,رمادي,أوتوماتيك,بنزين,مستعملة,725699176,حضرموت,/static/images/cars/رمادي_CR-V_هوندا.car.svg
2928,معرض التميز,هوندا سيفيك,هوندا,سيفيك,2022,31400,52599,أبيض,أوتوماتيك,ديزل,مستعملة,795347435,المكلا,/static/images/cars/أبيض_سيفيك_هوندا.car.svg
2929,معرض الرواد,هيونداي إلنترا,هيونداي,إلنترا,2023,30400,45808,رمادي,عادي,ديزل,مستعملة,798590444,حضرموت,/static/images/cars/رمادي_إلنترا_هيونداي.car.svg
2930,معرض القمة,هيونداي توسان,هيونداي,توسان,2020,24500,103204,رمادي,عادي,كهربائي,مستعملة,759371260,صنعاء,/static/images/cars/رمادي_توسان_هيونداي.car.svg
2931,معرض القمة,فورد إيدج,فورد,إيدج,2025,48700,0,أزرق,أوتوماتيك,هجين,جديدة,769473277,عدن,/static/images/cars/أزرق_إيدج_فورد.car.svg
2932,معرض النخبة,فورد إيدج,فورد,إيدج,2019,28100,75680,أزرق,عادي,كهربائي,مستعملة,727580033,حضرموت,/static/images/cars/أزرق_إيدج_فورد.car.svg
2933,معرض التميز,هوندا أكورد,هوندا,أكورد,2022,29100,73906,أزرق,عادي,بنزين,مستعملة,722922575,عدن,/static/images/cars/أزرق_أكورد_هوندا.car.svg
2934,معرض الرواد,مرسيدس E-Class,مرسيدس,E-Class,2016,40000,140171,فضي,أوتوماتيك,هجين,مستعملة,718058732,الحديدة,/static/images/cars/فضي_E-Class_مرسيدس.car.svg
2935,معرض الأصالة,تويوتا كورولا,تويوتا,كورولا,2022,34200,60569,رمادي,أوتوماتيك,هجين,مستعملة,750290217,صنعاء,/static/images/cars/رمادي_كورولا_تويوتا.car.svg
2936,معرض الرواد,هوندا CR-V,هوندا,CR-V,2025,37500,8323,أبيض,أوتوماتيك,كهربائي,مستعملة,788215320,الحديدة,/static/images/cars/أبيض_CR-V_هوندا.car.svg
2937,معرض النخبة,هيونداي إلنترا,هيونداي,إلنترا,2019,21600,69962,أحمر,أوتوماتيك,بنزين,مستعملة,784044876,صنعاء,/static/images/cars/أحمر_إلنترا_هيونداي.car.svg
2938,معرض النجوم,فورد موستانج,فورد,موستانج,2020,29400,105370,أبيض,عادي,بنزين,مستعملة,774216857,إب,/static/images/cars/أبيض_موستانج_فورد.car.svg
2939,معرض الرواد,تويوتا كورولا,تويوتا,كورولا,2025,44800,0,لؤلؤي,أوتوماتيك,كهربائي,جديدة,721588880,عدن,/static/images/cars/لؤلؤي_كورولا_تويوتا.car.svg
2940,معرض التميز,تويوتا كورولا,تويوتا,كورولا,2019,27800,89039,أبيض,أوتوماتيك,كهربائي,مستعملة,738768103,ذمار,/static/images/cars/أبيض_كورولا_تويوتا.car.svg
2941,معرض النخبة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2022,51400,67975,لؤلؤي,أوتوماتيك,بنزين,مستعملة,748970671,تعز,/static/images/cars/لؤلؤي_الفئة الخامسة_بي إم دبليو.car.svg
2942,معرض القمة,تويوتا كامري,تويوتا,كامري,2017,21100,82526,أبيض,أوتوماتيك,هجين,مستعملة,715292672,عدن,/static/images/cars/أبيض_كامري_تويوتا.car.svg
2943,معرض القمة,فورد إيدج,فورد,إيدج,2023,40000,26355,رمادي,أوتوماتيك,بنزين,مستعملة,787630954,ذمار,/static/images/cars/رمادي_إيدج_فورد.car.svg
2944,معرض السيارات الحديثة,بي إم دبليو X5,بي إم دبليو,X5,2019,42700,101920,رمادي,أوتوماتيك,بنزين,مستعملة,787271115,صنعاء,/static/images/cars/رمادي_X5_بي إم دبليو.car.svg
2945,معرض القمة,مرسيدس E-Class,مرسيدس,E-Class,2016,39400,123688,أزرق,أوتوماتيك,ديزل,مستعملة,722629912,المكلا,/static/images/cars/أزرق_E-Class_مرسيدس.car.svg
2946,معرض النجوم,هوندا سيفيك,هوندا,سيفيك,2021,26100,80672,أزرق,أوتوماتيك,كهربائي,مستعملة,774995354,عدن,/static/images/cars/أزرق_سيفيك_هوندا.car.svg
2947,معرض الرواد,تويوتا كورولا,تويوتا,كورولا,2026,44200,5000,أبيض,عادي,ديزل,مستعملة,714049682,عدن,/static/images/cars/أبيض_كورولا_تويوتا.car.svg
2948,معرض الرواد,هوندا سيفيك,هوندا,سيفيك,2017,20600,83454,لؤلؤي,أوتوماتيك,هجين,مستعملة,776181786,عدن,/static/images/cars/لؤلؤي_سيفيك_هوندا.car.svg
2949,معرض الرواد,فورد إكسبيديشن,فورد,إكسبيديشن,2021,34200,69205,أحمر,أوتوماتيك,ديزل,مستعملة,758064168,المكلا,/static/images/cars/أحمر_إكسبيديشن_فورد.car.svg
2950,معرض الأصالة,هوندا سيفيك,هوندا,سيفيك,2016,14500,150243,أحمر,أوتوماتيك,ديزل,مستعملة,798870526,المكلا,/static/images/cars/أحمر_سيفيك_هوندا.car.svg
2951,معرض النخبة,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2016,39400,99148,أحمر,عادي,بنزين,مستعملة,737618554,صنعاء,/static/images/cars/أحمر_الفئة الثالثة_بي إم دبليو.car.svg
2952,معرض التميز,هيونداي سانتافي,هيونداي,سانتافي,2022,29500,32711,رمادي,عادي,كهربائي,مستعملة,763313041,الحديدة,/static/images/cars/رمادي_سانتافي_هيونداي.car.svg
2953,معرض التميز,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2018,39700,103148,أبيض,عادي,بنزين,مستعملة,780184456,صنعاء,/static/images/cars/أبيض_الفئة الخامسة_بي إم دبليو.car.svg
2954,معرض النخبة,تويوتا هايلاندر,تويوتا,هايلاندر,2022,31700,39798,أسود,أوتوماتيك,ديزل,مستعملة,739018227,إب,/static/images/cars/أسود_هايلاندر_تويوتا.car.svg
2955,معرض الرواد,هوندا أكورد,هوندا,أكورد,2021,29900,76412,أزرق,أوتوماتيك,كهربائي,مستعملة,793624519,تعز,/static/images/cars/أزرق_أكورد_هوندا.car.svg
2956,معرض النخبة,هوندا بايلوت,هوندا,بايلوت,2020,28900,58976,رمادي,عادي,هجين,مستعملة,782711014,تعز,/static/images/cars/رمادي_بايلوت_هوندا.car.svg
2957,معرض السيارات الحديثة,بي إم دبليو X3,بي إم دبليو,X3,2023,53900,43090,أبيض,أوتوماتيك,كهربائي,مستعملة,793242657,عدن,/static/images/cars/أبيض_X3_بي إم دبليو.car.svg
2958,معرض السيارات الحديثة,مرسيدس GLC,مرسيدس,GLC,2015,38600,137790,أحمر,أوتوماتيك,هجين,مستعملة,767494251,المكلا,/static/images/cars/أحمر_GLC_مرسيدس.car.svg
2959,معرض النخبة,مرسيدس E-Class,مرسيدس,E-Class,2023,55900,49238,أسود,أوتوماتيك,هجين,مستعملة,714367654,إب,/static/images/cars/أسود_E-Class_مرسيدس.car.svg
2960,معرض التميز,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2021,49200,68107,لؤلؤي,عادي,كهربائي,مستعملة,779425550,ذمار,/static/images/cars/لؤلؤي_الفئة الخامسة_بي إم دبليو.car.svg
2961,معرض التميز,بي إم دبليو X5,بي إم دبليو,X5,2026,66500,0,أحمر,أوتوماتيك,هجين,جديدة,727484465,صنعاء,/static/images/cars/أحمر_X5_بي إم دبليو.car.svg
2962,معرض القمة,هيونداي إلنترا,هيونداي,إلنترا,2016,12700,165384,لؤلؤي,عادي,هجين,مستعملة,763638216,صنعاء,/static/images/cars/لؤلؤي_إلنترا_هيونداي.car.svg
2963,معرض الأصالة,تويوتا راف فور,تويوتا,راف فور,2020,24800,104412,أزرق,عادي,بنزين,مستعملة,743965313,عدن,/static/images/cars/أزرق_راف فور_تويوتا.car.svg
2964,معرض النجوم,فورد إكسبيديشن,فورد,إكسبيديشن,2017,21500,158064,لؤلؤي,أوتوماتيك,هجين,مستعملة,719756509,ذمار,/static/images/cars/لؤلؤي_إكسبيديشن_فورد.car.svg
2965,معرض السيارات الحديثة,مرسيدس GLC,مرسيدس,GLC,2016,40700,106728,أسود,عادي,بنزين,مستعملة,720217728,عدن,/static/images/cars/أسود_GLC_مرسيدس.car.svg
2966,معرض النجوم,مرسيدس E-Class,مرسيدس,E-Class,2021,52000,47263,أزرق,عادي,كهربائي,مستعملة,760879771,حضرموت,/static/images/cars/أزرق_E-Class_مرسيدس.car.svg
2967,معرض القمة,فورد موستانج,فورد,موستانج,2026,49300,0,أحمر,عادي,ديزل,جديدة,741067928,المكلا,/static/images/cars/أحمر_موستانج_فورد.car.svg
2968,معرض النجوم,هيونداي سوناتا,هيونداي,سوناتا,2019,22200,64379,أزرق,عادي,كهربائي,مستعملة,747689650,حضرموت,/static/images/cars/أزرق_سوناتا_هيونداي.car.svg
2969,معرض الأصالة,مرسيدس S-Class,مرسيدس,S-Class,2025,67000,0,أسود,أوتوماتيك,بنزين,جديدة,721574000,عدن,/static/images/cars/أسود_S-Class_مرسيدس.car.svg
2970,معرض القمة,مرسيدس GLC,مرسيدس,GLC,2025,59100,14628,لؤلؤي,عادي,هجين,مستعملة,745843604,تعز,/static/images/cars/لؤلؤي_GLC_مرسيدس.car.svg
2971,معرض القمة,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2025,59000,14693,فضي,أوتوماتيك,هجين,مستعملة,787971078,حضرموت,/static/images/cars/فضي_الفئة الثالثة_بي إم دبليو.car.svg
2972,معرض التميز,بي إم دبليو X5,بي إم دبليو,X5,2015,32700,133140,أزرق,عادي,بنزين,مستعملة,714448823,عدن,/static/images/cars/أزرق_X5_بي إم دبليو.car.svg
2973,معرض السيارات الحديثة,تويوتا كورولا,تويوتا,كورولا,2021,30500,61580,رمادي,عادي,كهربائي,مستعملة,785426728,إب,/static/images/cars/رمادي_كورولا_تويوتا.car.svg
2974,معرض السيارات الحديثة,هوندا بايلوت,هوندا,بايلوت,2022,33000,33475,لؤلؤي,عادي,هجين,مستعملة,798686570,حضرموت,/static/images/cars/لؤلؤي_بايلوت_هوندا.car.svg
2975,معرض الرواد,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2019,44600,88513,رمادي,عادي,كهربائي,مستعملة,767411199,حضرموت,/static/images/cars/رمادي_الفئة الثالثة_بي إم دبليو.car.svg
2976,معرض التميز,فورد موستانج,فورد,موستانج,2016,20300,168775,فضي,أوتوماتيك,هجين,مستعملة,777174597,صنعاء,/static/images/cars/فضي_موستانج_فورد.car.svg
2977,معرض الرواد,تويوتا كامري,تويوتا,كامري,2021,30600,52795,لؤلؤي,عادي,كهربائي,مستعملة,752805286,تعز,/static/images/cars/لؤلؤي_كامري_تويوتا.car.svg
2978,معرض القمة,هوندا CR-V,هوندا,CR-V,2025,44900,0,أسود,أوتوماتيك,هجين,جديدة,766715392,إب,/static/images/cars/أسود_CR-V_هوندا.car.svg
2979,معرض الأصالة,بي إم دبليو X5,بي إم دبليو,X5,2026,63700,0,لؤلؤي,أوتوماتيك,بنزين,جديدة,772427793,عدن,/static/images/cars/لؤلؤي_X5_بي إم دبليو.car.svg
2980,معرض الأصالة,هوندا CR-V,هوندا,CR-V,2025,36300,17983,أحمر,عادي,هجين,مستعملة,786004622,إب,/static/images/cars/أحمر_CR-V_هوندا.car.svg
2981,معرض الرواد,مرسيدس S-Class,مرسيدس,S-Class,2016,38200,135096,أحمر,أوتوماتيك,هجين,مستعملة,782722091,الحديدة,/static/images/cars/أحمر_S-Class_مرسيدس.car.svg
2982,معرض السيارات الحديثة,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2022,52700,50835,لؤلؤي,عادي,كهربائي,مستعملة,787011219,عدن,/static/images/cars/لؤلؤي_الفئة الخامسة_بي إم دبليو.car.svg
2983,معرض الرواد,بي إم دبليو الفئة الخامسة,بي إم دبليو,الفئة الخامسة,2015,35500,125751,أزرق,عادي,ديزل,مستعملة,773398160,عدن,/static/images/cars/أزرق_الفئة الخامسة_بي إم دبليو.car.svg
2984,معرض الأصالة,تويوتا راف فور,تويوتا,راف فور,2023,37900,29444,أزرق,عادي,ديزل,مستعملة,719795789,صنعاء,/static/images/cars/أزرق_راف فور_تويوتا.car.svg
2985,معرض الرواد,هيونداي سوناتا,هيونداي,سوناتا,2016,10900,155193,فضي,عادي,ديزل,مستعملة,797192646,عدن,/static/images/cars/فضي_سوناتا_هيونداي.car.svg
2986,معرض الرواد,تويوتا هايلاندر,تويوتا,هايلاندر,2023,38100,34838,أحمر,عادي,ديزل,مستعملة,733147442,إب,/static/images/cars/أحمر_هايلاندر_تويوتا.car.svg
2987,معرض النخبة,هيونداي إلنترا,هيونداي,إلنترا,2026,37800,5000,لؤلؤي,عادي,هجين,مستعملة,749244170,المكلا,/static/images/cars/لؤلؤي_إلنترا_هيونداي.car.svg
2988,معرض النجوم,هيونداي سوناتا,هيونداي,سوناتا,2015,11600,187660,أسود,عادي,بنزين,مستعملة,742514305,تعز,/static/images/cars/أسود_سوناتا_هيونداي.car.svg
2989,معرض السيارات الحديثة,فورد إكسبلورر,فورد,إكسبلورر,2017,22000,97844,أسود,عادي,هجين,مستعملة,774836671,صنعاء,/static/images/cars/أسود_إكسبلورر_فورد.car.svg
2990,معرض القمة,مرسيدس GLC,مرسيدس,GLC,2025,63700,0,لؤلؤي,عادي,هجين,جديدة,737282227,الحديدة,/static/images/cars/لؤلؤي_GLC_مرسيدس.car.svg
2991,معرض السيارات الحديثة,مرسيدس S-Class,مرسيدس,S-Class,2022,53700,41855,أحمر,أوتوماتيك,ديزل,مستعملة,724551530,صنعاء,/static/images/cars/أحمر_S-Class_مرسيدس.car.svg
2992,معرض التميز,تويوتا كورولا,تويوتا,كورولا,2025,42800,11896,أبيض,أوتوماتيك,بنزين,مستعملة,775420157,صنعاء,/static/images/cars/أبيض_كورولا_تويوتا.car.svg
2993,معرض الأصالة,مرسيدس GLC,مرسيدس,GLC,2026,61900,5000,لؤلؤي,أوتوماتيك,هجين,مستعملة,786589871,الحديدة,/static/images/cars/لؤلؤي_GLC_مرسيدس.car.svg
2994,معرض القمة,فورد إيدج,فورد,إيدج,2024,41600,25194,لؤلؤي,عادي,كهربائي,مستعملة,733622643,ذمار,/static/images/cars/لؤلؤي_إيدج_فورد.car.svg
2995,معرض الرواد,فورد إكسبلورر,فورد,إكسبلورر,2022,35400,54175,لؤلؤي,أوتوماتيك,ديزل,مستعملة,767320432,المكلا,/static/images/cars/لؤلؤي_إكسبلورر_فورد.car.svg
2996,معرض القمة,هيونداي توسان,هيونداي,توسان,2025,43400,0,أبيض,عادي,هجين,جديدة,788648797,إب,/static/images/cars/أبيض_توسان_هيونداي.car.svg
2997,معرض الرواد,هيونداي سانتافي,هيونداي,سانتافي,2024,30900,24525,فضي,أوتوماتيك,هجين,مستعملة,730020648,صنعاء,/static/images/cars/فضي_سانتافي_هيونداي.car.svg
2998,معرض النخبة,هوندا بايلوت,هوندا,بايلوت,2017,16400,138261,أحمر,عادي,هجين,مستعملة,799026911,إب,/static/images/cars/أحمر_بايلوت_هوندا.car.svg
2999,معرض القمة,فورد موستانج,فورد,موستانج,2020,29100,96226,أزرق,أوتوماتيك,بنزين,مستعملة,771934298,إب,/static/images/cars/أزرق_موستانج_فورد.car.svg
3000,معرض النجوم,تويوتا لاندكروزر,تويوتا,لاندكروزر,2018,24400,112321,أسود,عادي,بنزين,مستعملة,772409137,ذمار,/static/images/cars/أسود_لاندكروزر_تويوتا.car.svg
3001,معرض التميز,بي إم دبليو X5,بي إم دبليو,X5,2020,47500,63056,أحمر,أوتوماتيك,هجين,مستعملة,718301201,حضرموت,/static/images/cars/أحمر_X5_بي إم دبليو.car.svg
3002,معرض النخبة,هوندا بايلوت,هوندا,بايلوت,2026,39800,5000,لؤلؤي,عادي,هجين,مستعملة,740943650,الحديدة,/static/images/cars/لؤلؤي_بايلوت_هوندا.car.svg
3003,معرض السيارات الحديثة,فورد موستانج,فورد,موستانج,2017,22200,160376,أحمر,أوتوماتيك,هجين,مستعملة,772458631,تعز,/static/images/cars/أحمر_موستانج_فورد.car.svg
3004,معرض الأصالة,هوندا بايلوت,هوندا,بايلوت,2025,44300,0,أبيض,أوتوماتيك,هجين,جديدة,740793278,المكلا,/static/images/cars/أبيض_بايلوت_هوندا.car.svg
3005,معرض النجوم,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2015,32000,201469,أسود,عادي,هجين,مستعملة,714567341,الحديدة,/static/images/cars/أسود_الفئة الثالثة_بي إم دبليو.car.svg
3006,معرض السيارات الحديثة,بي إم دبليو X5,بي إم دبليو,X5,2015,33500,145372,أسود,أوتوماتيك,هجين,مستعملة,794859928,الحديدة,/static/images/cars/أسود_X5_بي إم دبليو.car.svg
3007,معرض النجوم,مرسيدس S-Class,مرسيدس,S-Class,2020,46500,89537,لؤلؤي,أوتوماتيك,كهربائي,مستعملة,746155867,المكلا,/static/images/cars/لؤلؤي_S-Class_مرسيدس.car.svg
3008,معرض التميز,هوندا بايلوت,هوندا,بايلوت,2016,13300,176899,رمادي,عادي,ديزل,مستعملة,782525054,صنعاء,/static/images/cars/رمادي_بايلوت_هوندا.car.svg
3009,معرض النجوم,بي إم دبليو X5,بي إم دبليو,X5,2019,43400,106219,أحمر,أوتوماتيك,كهربائي,مستعملة,722865988,حضرموت,/static/images/cars/أحمر_X5_بي إم دبليو.car.svg
3010,معرض الرواد,هيونداي إلنترا,هيونداي,إلنترا,2022,28300,48436,أسود,أوتوماتيك,بنزين,مستعملة,794455026,المكلا,/static/images/cars/أسود_إلنترا_هيونداي.car.svg
3011,معرض النجوم,هوندا بايلوت,هوندا,بايلوت,2023,32100,53957,أسود,أوتوماتيك,كهربائي,مستعملة,795316737,صنعاء,/static/images/cars/أسود_بايلوت_هوندا.car.svg
3012,معرض الأصالة,هوندا بايلوت,هوندا,بايلوت,2024,34800,36842,أزرق,عادي,هجين,مستعملة,713067849,الحديدة,/static/images/cars/أزرق_بايلوت_هوندا.car.svg
3013,معرض الرواد,هوندا أكورد,هوندا,أكورد,2024,37900,35833,أحمر,عادي,ديزل,مستعملة,720830992,صنعاء,/static/images/cars/أحمر_أكورد_هوندا.car.svg
3014,معرض النجوم,هوندا CR-V,هوندا,CR-V,2015,14300,172531,أزرق,أوتوماتيك,ديزل,مستعملة,764126308,المكلا,/static/images/cars/أزرق_CR-V_هوندا.car.svg
3015,معرض السيارات الحديثة,هوندا CR-V,هوندا,CR-V,2022,28900,66081,رمادي,عادي,كهربائي,مستعملة,743099853,تعز,/static/images/cars/رمادي_CR-V_هوندا.car.svg
3016,معرض النخبة,مرسيدس S-Class,مرسيدس,S-Class,2026,64400,5000,فضي,أوتوماتيك,كهربائي,مستعملة,773042437,ذمار,/static/images/cars/فضي_S-Class_مرسيدس.car.svg
3017,معرض النخبة,هوندا سيفيك,هوندا,سيفيك,2016,18500,144054,أزرق,عادي,ديزل,مستعملة,749588376,الحديدة,/static/images/cars/أزرق_سيفيك_هوندا.car.svg
3018,معرض النخبة,مرسيدس GLC,مرسيدس,GLC,2018,46000,106222,رمادي,عادي,بنزين,مستعملة,753001358,إب,/static/images/cars/رمادي_GLC_مرسيدس.car.svg
3019,معرض الأصالة,هيونداي توسان,هيونداي,توسان,2021,23600,73395,رمادي,عادي,ديزل,مستعملة,739152148,صنعاء,/static/images/cars/رمادي_توسان_هيونداي.car.svg
3020,معرض التميز,تويوتا كورولا,تويوتا,كورولا,2026,43900,5000,أزرق,عادي,هجين,مستعملة,739722157,تعز,/static/images/cars/أزرق_كورولا_تويوتا.car.svg
3021,معرض الرواد,فورد إكسبيديشن,فورد,إكسبيديشن,2025,41400,10401,رمادي,عادي,هجين,مستعملة,745957159,الحديدة,/static/images/cars/رمادي_إكسبيديشن_فورد.car.svg
3022,معرض الأصالة,مرسيدس C-Class,مرسيدس,C-Class,2021,48800,72148,رمادي,أوتوماتيك,بنزين,مستعملة,750582568,ذمار,/static/images/cars/رمادي_C-Class_مرسيدس.car.svg
3023,معرض الرواد,هيونداي سوناتا,هيونداي,سوناتا,2026,41600,0,فضي,عادي,ديزل,جديدة,784842554,الحديدة,/static/images/cars/فضي_سوناتا_هيونداي.car.svg
3024,معرض التميز,بي إم دبليو X5,بي إم دبليو,X5,2023,53100,45513,لؤلؤي,أوتوماتيك,بنزين,مستعملة,792726446,صنعاء,/static/images/cars/لؤلؤي_X5_بي إم دبليو.car.svg
3025,معرض النجوم,مرسيدس E-Class,مرسيدس,E-Class,2022,53500,44132,رمادي,أوتوماتيك,كهربائي,مستعملة,711943334,إب,/static/images/cars/رمادي_E-Class_مرسيدس.car.svg
3026,معرض التميز,فورد إكسبيديشن,فورد,إكسبيديشن,2018,26500,109488,أحمر,أوتوماتيك,ديزل,مستعملة,741381348,المكلا,/static/images/cars/أحمر_إكسبيديشن_فورد.car.svg
3027,معرض النجوم,مرسيدس C-Class,مرسيدس,C-Class,2026,64200,5000,فضي,عادي,بنزين,مستعملة,768618675,حضرموت,/static/images/cars/فضي_C-Class_مرسيدس.car.svg
3028,معرض التميز,تويوتا هايلاندر,تويوتا,هايلاندر,2018,22400,133877,أبيض,أوتوماتيك,ديزل,مستعملة,769735019,إب,/static/images/cars/أبيض_هايلاندر_تويوتا.car.svg
3029,معرض القمة,هوندا CR-V,هوندا,CR-V,2020,28000,63198,أسود,أوتوماتيك,كهربائي,مستعملة,763025581,تعز,/static/images/cars/أسود_CR-V_هوندا.car.svg
3030,معرض الرواد,بي إم دبليو X3,بي إم دبليو,X3,2015,33200,124921,لؤلؤي,أوتوماتيك,ديزل,مستعملة,745596918,الحديدة,/static/images/cars/لؤلؤي_X3_بي إم دبليو.car.svg
3031,معرض النخبة,فورد موستانج,فورد,موستانج,2020,31100,82341,أبيض,أوتوماتيك,كهربائي,مستعملة,723706710,حضرموت,/static/images/cars/أبيض_موستانج_فورد.car.svg
3032,معرض القمة,هيونداي سوناتا,هيونداي,سوناتا,2018,15100,140515,رمادي,أوتوماتيك,بنزين,مستعملة,738128942,حضرموت,/static/images/cars/رمادي_سوناتا_هيونداي.car.svg
3033,معرض الرواد,فورد إكسبيديشن,فورد,إكسبيديشن,2024,40900,28780,رمادي,أوتوماتيك,بنزين,مستعملة,738445777,المكلا,/static/images/cars/رمادي_إكسبيديشن_فورد.car.svg
3034,معرض النجوم,هيونداي توسان,هيونداي,توسان,2022,29100,56629,أزرق,أوتوماتيك,بنزين,مستعملة,767180677,عدن,/static/images/cars/أزرق_توسان_هيونداي.car.svg
3035,معرض النجوم,هوندا سيفيك,هوندا,سيفيك,2016,15900,141105,فضي,عادي,ديزل,مستعملة,783987406,ذمار,/static/images/cars/فضي_سيفيك_هوندا.car.svg
3036,معرض الرواد,بي إم دبليو الفئة الثالثة,بي إم دبليو,الفئة الثالثة,2025,58700,5421,رمادي,أوتوماتيك,بنزين,مستعملة,738837659,الحديدة,/static/images/cars/رمادي_الفئة الثالثة_بي إم دبليو.car.svg
3037,معرض السيارات الحديثة,فورد موستانج,فورد,موستانج,2023,34700,49016,أسود,عادي,بنزين,مستعملة,752366285,صنعاء,/static/images/cars/أسود_موستانج_فورد.car.svg
3038,معرض الأصالة,تويوتا كورولا,تويوتا,كورولا,2024,36800,31993,أبيض,أوتوماتيك,بنزين,مستعملة,734744306,إب,/static/images/cars/أبيض_كورولا_تويوتا.car.svg
